,id,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month
0,25026,within a day,91.0,False,True,Copacabana,-22.97712000000001,-43.19045,2,1.0,1.0,2.0,160,1000,250,2,45,7,60,235,94.0,9.0,10.0,9.0,10.0,10.0,9.0,False,strict_14_with_grace_period,2.04
1,31560,within an hour,100.0,True,True,Ipanema,-22.98302,-43.21427,3,1.0,1.0,2.0,273,0,84,2,42,2,1125,271,96.0,10.0,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,2.38
2,35636,within an hour,100.0,True,True,Ipanema,-22.98816,-43.19359,3,1.5,1.0,2.0,378,1050,172,2,63,2,89,169,94.0,10.0,9.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,2.28
3,35764,within an hour,100.0,True,True,Copacabana,-22.98127,-43.19046,2,1.0,1.0,1.0,130,400,140,2,80,3,28,316,98.0,10.0,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,2.84
4,48305,within an hour,100.0,True,True,Ipanema,-22.98633,-43.20256,13,7.0,6.0,6.0,3581,3254,372,7,93,2,89,64,92.0,9.0,9.0,9.0,9.0,10.0,9.0,True,strict_14_with_grace_period,0.6
5,48901,within an hour,100.0,False,True,Copacabana,-22.96467,-43.17442,10,3.5,4.0,4.0,848,600,199,8,69,2,750,3,80.0,9.0,8.0,9.0,9.0,9.0,6.0,True,strict_14_with_grace_period,0.06
6,49179,within an hour,95.0,False,True,Copacabana,-22.97934,-43.19113,3,1.0,1.0,2.0,189,420,210,2,21,3,90,78,93.0,9.0,9.0,10.0,10.0,10.0,9.0,True,moderate,0.92
7,51703,within an hour,100.0,True,True,Copacabana,-22.98108,-43.19078,2,1.0,0.0,2.0,134,400,135,2,75,3,1125,168,95.0,10.0,10.0,10.0,10.0,10.0,9.0,True,strict_14_with_grace_period,1.89
8,60718,within a few hours,100.0,False,False,Flamengo,-22.93046,-43.1745,6,2.0,4.0,4.0,835,651,232,5,130,7,365,8,94.0,10.0,10.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,0.07
9,61661,within an hour,100.0,False,False,Copacabana,-22.98522,-43.19242,4,,1.0,2.0,139,0,200,2,50,5,365,32,91.0,10.0,9.0,10.0,9.0,10.0,9.0,True,strict_14_with_grace_period,0.3
10,66574,within a few hours,100.0,False,True,Flamengo,-22.92873,-43.17473,4,2.0,3.0,4.0,260,0,150,1,0,4,60,1,80.0,10.0,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,0.03
11,66797,within an hour,100.0,True,False,Copacabana,-22.98282,-43.19571,2,1.0,0.0,1.0,151,0,50,2,0,3,89,186,98.0,10.0,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,1.76
12,72900,within a few hours,100.0,False,True,Ipanema,-22.98467,-43.19753,2,1.0,1.0,1.0,332,1259,189,2,840,4,120,13,97.0,9.0,10.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,0.16
13,73581,within a few hours,100.0,False,True,Copacabana,-22.98027,-43.19255,4,1.0,1.0,1.0,130,1679,210,2,84,3,365,138,87.0,9.0,9.0,10.0,10.0,9.0,9.0,False,strict_14_with_grace_period,1.3
14,75148,within an hour,100.0,False,False,Copacabana,-22.98152,-43.19018,4,1.0,1.0,0.0,109,0,200,2,50,7,1125,26,93.0,10.0,10.0,10.0,10.0,9.0,9.0,True,strict_14_with_grace_period,0.39
15,76245,within an hour,100.0,False,False,Copacabana,-22.98119,-43.19373,12,4.0,4.0,8.0,420,2324,418,6,70,2,365,121,87.0,9.0,9.0,10.0,10.0,9.0,8.0,True,strict_14_with_grace_period,1.2
16,76961,within an hour,100.0,False,True,Lapa,-22.91431,-43.18884,2,1.0,1.0,2.0,101,0,100,1,0,5,185,91,94.0,10.0,9.0,10.0,10.0,9.0,9.0,True,strict_14_with_grace_period,0.87
17,77318,within an hour,100.0,True,True,Gávea,-22.97629,-43.23145,4,1.0,1.0,2.0,160,0,180,2,25,4,89,30,93.0,9.0,9.0,10.0,10.0,10.0,9.0,True,strict_14_with_grace_period,0.37
18,84008,within a day,69.0,False,False,Copacabana,-22.96925,-43.18283,5,2.0,2.0,3.0,273,0,168,1,0,3,60,20,93.0,10.0,8.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,0.23
19,85807,within an hour,100.0,False,True,Copacabana,-22.98549,-43.19295,2,1.0,1.0,1.0,239,0,0,2,80,2,730,0,,,,,,,,True,strict_14_with_grace_period,
