host_response_time,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month
within a day,91.0,False,True,Copacabana,-22.97712000000001,-43.19045,2,1.0,1.0,2.0,160,1000,250,2,45,7,60,235,94.0,9.0,10.0,9.0,10.0,10.0,9.0,False,strict_14_with_grace_period,2.04
within an hour,100.0,True,True,Ipanema,-22.98302,-43.21427,3,1.0,1.0,2.0,273,0,84,2,42,2,1125,271,96.0,10.0,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,2.38
within an hour,100.0,True,True,Ipanema,-22.98816,-43.19359,3,1.5,1.0,2.0,378,1050,172,2,63,2,89,169,94.0,10.0,9.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,2.28
within an hour,100.0,True,True,Copacabana,-22.981270000000002,-43.190459999999995,2,1.0,1.0,1.0,130,400,140,2,80,3,28,316,98.0,10.0,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,2.84
within an hour,100.0,True,True,Ipanema,-22.98633,-43.20256,13,7.0,6.0,6.0,3581,3254,372,7,93,2,89,64,92.0,9.0,9.0,9.0,9.0,10.0,9.0,True,strict_14_with_grace_period,0.6
within an hour,100.0,False,True,Copacabana,-22.96467,-43.17442,10,3.5,4.0,4.0,848,600,199,8,69,2,750,3,80.0,9.0,8.0,9.0,9.0,9.0,6.0,True,strict_14_with_grace_period,0.06
within an hour,95.0,False,True,Copacabana,-22.97934,-43.19113,3,1.0,1.0,2.0,189,420,210,2,21,3,90,78,93.0,9.0,9.0,10.0,10.0,10.0,9.0,True,moderate,0.92
within an hour,100.0,True,True,Copacabana,-22.98108,-43.19078,2,1.0,0.0,2.0,134,400,135,2,75,3,1125,168,95.0,10.0,10.0,10.0,10.0,10.0,9.0,True,strict_14_with_grace_period,1.89
within a few hours,100.0,False,False,Flamengo,-22.93046,-43.1745,6,2.0,4.0,4.0,835,651,232,5,130,7,365,8,94.0,10.0,10.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,0.07
within a few hours,100.0,False,True,Flamengo,-22.928729999999998,-43.17473,4,2.0,3.0,4.0,260,0,150,1,0,4,60,1,80.0,10.0,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,0.03
within an hour,100.0,True,False,Copacabana,-22.98282,-43.19571,2,1.0,0.0,1.0,151,0,50,2,0,3,89,186,98.0,10.0,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,1.76
within a few hours,100.0,False,True,Ipanema,-22.98467,-43.19753,2,1.0,1.0,1.0,332,1259,189,2,840,4,120,13,97.0,9.0,10.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,0.16
within a few hours,100.0,False,True,Copacabana,-22.98027,-43.19255,4,1.0,1.0,1.0,130,1679,210,2,84,3,365,138,87.0,9.0,9.0,10.0,10.0,9.0,9.0,False,strict_14_with_grace_period,1.3
within an hour,100.0,False,False,Copacabana,-22.98152,-43.19018,4,1.0,1.0,0.0,109,0,200,2,50,7,1125,26,93.0,10.0,10.0,10.0,10.0,9.0,9.0,True,strict_14_with_grace_period,0.39
within an hour,100.0,False,False,Copacabana,-22.981189999999998,-43.19373,12,4.0,4.0,8.0,420,2324,418,6,70,2,365,121,87.0,9.0,9.0,10.0,10.0,9.0,8.0,True,strict_14_with_grace_period,1.2
within an hour,100.0,False,True,Lapa,-22.91431,-43.18884,2,1.0,1.0,2.0,101,0,100,1,0,5,185,91,94.0,10.0,9.0,10.0,10.0,9.0,9.0,True,strict_14_with_grace_period,0.87
within an hour,100.0,True,True,Gávea,-22.97629,-43.23145,4,1.0,1.0,2.0,160,0,180,2,25,4,89,30,93.0,9.0,9.0,10.0,10.0,10.0,9.0,True,strict_14_with_grace_period,0.37
within a day,69.0,False,False,Copacabana,-22.96925,-43.182829999999996,5,2.0,2.0,3.0,273,0,168,1,0,3,60,20,93.0,10.0,8.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,0.23
within an hour,90.0,False,False,Leblon,-22.9827,-43.21908,4,1.0,1.0,3.0,210,500,150,5,30,2,90,82,93.0,10.0,10.0,10.0,10.0,10.0,9.0,True,moderate,0.81
within an hour,100.0,False,True,Ipanema,-22.98386,-43.21383,2,1.0,1.0,1.0,298,0,70,1,0,2,1125,12,90.0,9.0,8.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,0.45
within an hour,90.0,False,False,Copacabana,-22.976999999999997,-43.19041,4,1.0,1.0,1.0,147,450,150,4,20,2,89,60,92.0,10.0,10.0,10.0,9.0,10.0,9.0,True,moderate,0.61
within an hour,90.0,False,False,Copacabana,-22.9755,-43.18865,3,1.0,1.0,3.0,126,450,150,3,20,2,90,40,93.0,9.0,10.0,10.0,9.0,10.0,9.0,True,moderate,0.48
within a few hours,100.0,False,False,Leblon,-22.98668,-43.221709999999995,4,2.0,3.0,3.0,487,1000,300,4,100,2,1125,39,97.0,10.0,10.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,0.45
within an hour,90.0,False,False,Copacabana,-22.97566,-43.1885,4,1.0,1.0,4.0,189,450,150,4,30,2,90,38,94.0,9.0,10.0,10.0,10.0,10.0,9.0,True,moderate,0.45
within a few hours,100.0,False,False,Copacabana,-22.97839,-43.19108,4,1.0,1.0,1.0,626,0,63,4,20,2,730,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,False,moderate,1.0
within an hour,100.0,False,True,Barra da Tijuca,-23.011589999999998,-43.36925,4,1.0,1.0,1.0,302,690,278,4,46,4,500,34,96.0,10.0,9.0,10.0,10.0,10.0,9.0,True,strict_14_with_grace_period,0.42
within a few hours,90.0,False,True,Lapa,-22.91526,-43.18148,3,1.0,0.0,1.0,130,750,85,2,45,2,28,54,90.0,9.0,9.0,10.0,10.0,9.0,9.0,True,moderate,0.66
within a few hours,100.0,False,True,Leblon,-22.98857000000001,-43.22716,4,1.0,0.0,3.0,185,0,232,2,70,3,1000,99,95.0,10.0,9.0,10.0,10.0,9.0,10.0,True,strict_14_with_grace_period,0.98
within an hour,100.0,False,False,Barra da Tijuca,-23.0089,-43.43049,4,1.0,2.0,2.0,357,1955,211,1,0,4,30,6,93.0,9.0,10.0,10.0,10.0,9.0,9.0,False,strict_14_with_grace_period,0.15
within an hour,100.0,False,False,Copacabana,-22.98322000000001,-43.190870000000004,4,1.0,1.0,2.0,189,420,147,2,0,3,60,131,92.0,10.0,9.0,10.0,10.0,10.0,9.0,True,strict_14_with_grace_period,1.27
within a few hours,100.0,False,False,Glória,-22.92002,-43.18005,5,2.0,2.0,0.0,185,1627,163,2,70,3,360,53,97.0,10.0,10.0,10.0,9.0,10.0,9.0,False,moderate,0.52
within an hour,100.0,True,True,Ipanema,-22.98645,-43.19724,8,3.0,4.0,6.0,1259,6297,420,1,84,2,29,137,98.0,10.0,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,1.43
within a few hours,100.0,False,True,Copacabana,-22.97,-43.18823,2,1.0,0.0,1.0,227,418,46,1,0,2,31,81,100.0,10.0,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,0.79
