neighbourhood,price_mean,price_count
Abolição,342.25,4
Anchieta,1041.0,7
Andaraí,701.6136363636364,88
Barra da Tijuca,989.9551182461591,5793
Barra de Guaratiba,1024.5,74
Barros Filho,78.8,5
Benfica,627.0,6
Bento Ribeiro,302.6923076923077,13
Bonsucesso,326.06666666666666,15
Botafogo,416.5903614457831,1660
Brás de Pina,110.08695652173913,23
Cachambi,368.27272727272725,33
Caju,227.0,2
Cascadura,2522.9375,16
Catete,280.6084142394822,309
Catumbi,253.5,8
Cavalcante,348.0,1
Centro,290.9040307101727,521
Cidade Nova,272.9,20
Coelho Neto,42.0,1
Colégio,80.0,1
Complexo da Maré,1650.0,1
Complexo de Alemão,680.0,3
Copacabana,480.7325206167085,8367
Cordovil,123.4,5
Cosme Velho,534.4150943396227,106
Del Castilho,214.66666666666666,24
Deodoro,1816.0,3
Encantado,369.6666666666667,15
Engenheiro Leal,1499.0,1
Engenho Novo,273.2241379310345,58
Engenho da Rainha,382.57142857142856,7
Engenho de Dentro,445.4888888888889,90
Estacio,223.45679012345678,81
Flamengo,448.3098751418842,881
Gamboa,321.74074074074076,27
Glória,451.9082840236686,338
Grajaú,308.8095238095238,105
Grumari,361.6666666666667,3
Guadalupe,351.36842105263156,19
Gávea,795.2475247524752,303
Higienópolis,401.1818181818182,11
Honório Gurgel,63.0,2
Humaitá,519.9222222222222,270
Inhaúma,224.1818181818182,11
Ipanema,677.9383139136395,2918
Irajá,299.1818181818182,33
Jacaré,88.5,2
Jardim Botânico,877.048231511254,311
Joá,2768.442105263158,95
Lagoa,958.471098265896,346
Lapa,285.0568720379147,422
Laranjeiras,477.3574660633484,663
Leblon,790.7882504841833,1549
Leme,584.3692052980133,604
Lins de Vasconcelos,195.05,20
Madureira,296.6666666666667,24
Mangueira,42.0,3
Manguinhos,88.0,1
Maracanã,658.4275618374559,283
Marechal Hermes,232.75,20
Maria da Graça,323.8,15
Méier,293.16326530612247,49
Olaria,234.0,8
Oswaldo Cruz,468.4166666666667,12
Parada de Lucas,202.33333333333334,6
Parque Anchieta,298.0,13
Pavuna,244.33333333333334,6
Penha,285.0,17
Penha Circular,195.55555555555554,9
Piedade,281.4,15
Pilares,186.75,8
Praça da Bandeira,394.3466666666667,75
Quintino Bocaiúva,476.1333333333333,15
Ramos,3473.3333333333335,6
Recreio dos Bandeirantes,815.9181514476614,1796
Riachuelo,428.96153846153845,26
Ricardo de Albuquerque,1215.0,5
Rio Comprido,368.22429906542055,107
Rocha,443.89473684210526,57
Rocha Miranda,378.0,3
Rocinha,389.05263157894734,19
Sampaio,276.4166666666667,12
Santa Teresa,558.2234251968504,1016
Santo Cristo,1865.2,15
Saúde,233.7826086956522,23
São Conrado,1984.9837398373984,246
São Cristóvão,341.76271186440675,118
Tijuca,497.97115384615387,728
Todos os Santos,436.97727272727275,44
Tomás Coelho,213.33333333333334,6
Urca,724.762962962963,135
Vaz Lobo,1024.5,2
Vidigal,590.858024691358,162
Vigário Geral,189.0,2
Vila Isabel,539.0,328
Vila Kosmos,88.33333333333333,3
Vila da Penha,275.1818181818182,11
Vincente de Carvalho,762.8571428571429,7
