PARLAMENTAR;PARTIDO;ESTADO;POSI플O_BLOCO;ESPECTRO;REGI홒;SEXO;SENIORIDADE;VOTO
ALAN RICK;DEM;ACRE;GOVERNO;DIREITA;NORTE;MASCULINO;REELEITO;NAO
DRA. VANDA MILANI;Solidaried;ACRE;GOVERNO;CENTRO;NORTE;FEMININO;NOVATO;ABSTENCAO
FLAVIANO MELO;MDB;ACRE;GOVERNO;CENTRO;NORTE;MASCULINO;REELEITO;ABSTENCAO
JESSICA SALES;MDB;ACRE;GOVERNO;CENTRO;NORTE;FEMININO;REELEITO;SIM
JESUS SERGIO;PDT;ACRE;OPOSI플O;ESQUERDA;NORTE;MASCULINO;NOVATO;NAO
MANUEL MARCOS;REPUBLICAN;ACRE;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;ABSTENCAO
MARA ROCHA;PSDB;ACRE;GOVERNO;CENTRO;NORTE;FEMININO;NOVATO;NAO
PERPETUA ALMEIDA;PCdoB;ACRE;OPOSI플O;ESQUERDA;NORTE;FEMININO;RETORNO;ABSTENCAO
ARTHUR LIRA;PP;ALAGOAS;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
ISNALDO BULHOES JR.;MDB;ALAGOAS;GOVERNO;CENTRO;NORDESTE;MASCULINO;NOVATO;SIM
JHC;PSB;ALAGOAS;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;NAO
MARX BELTRAO;PSD;ALAGOAS;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
NIVALDO ALBUQUERQUE;PTB;ALAGOAS;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
PAULAO;PT;ALAGOAS;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
SERGIO TOLEDO;PL;ALAGOAS;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
SEVERINO PESSOA;Republican;ALAGOAS;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
TEREZA NELMA;PSDB;ALAGOAS;GOVERNO;CENTRO;NORDESTE;FEMININO;REELEITO;ABSTENCAO
ACACIO FAVACHO;PROS;AMAPA;OPOSI플O;CENTRO;NORTE;MASCULINO;NOVATO;SIM
ALINE GURGEL;Republican;AMAPA;GOVERNO;DIREITA;NORTE;FEMININO;NOVATO;SIM
ANDRE ABDON;PP;AMAPA;GOVERNO;DIREITA;NORTE;MASCULINO;REELEITO;SIM
CAMILO CAPIBERIBE;PSB;AMAPA;OPOSI플O;ESQUERDA;NORTE;MASCULINO;NOVATO;SIM
LEDA SADALA;Avante;AMAPA;GOVERNO;CENTRO;NORTE;FEMININO;NOVATO;ABSTENCAO
LUIZ CARLOS;PSDB;AMAPA;GOVERNO;CENTRO;NORTE;MASCULINO;RETORNO;ABSTENCAO
PATRICIA FERRAZ;PL;AMAPA;GOVERNO;DIREITA;NORTE;FEMININO;NOVATO;NAO
PROFESSORA MARCIVANIA;PCdoB;AMAPA;OPOSI플O;ESQUERDA;NORTE;FEMININO;REELEITO;ABSTENCAO
ATILA LINS;PP;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;REELEITO;SIM
BOSCO SARAIVA;Solidaried;AMAZONAS;GOVERNO;CENTRO;NORTE;MASCULINO;NOVATO;SIM
CAPITAO ALBERTO NETO;REPUBLICAN;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;ABSTENCAO
DELEGADO PABLO;PSL;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;NAO
JOSE RICARDO;PT;AMAZONAS;OPOSI플O;ESQUERDA;NORTE;MASCULINO;NOVATO;SIM
MARCELO RAMOS;PL;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;SIM
SIDNEY LEITE;PSD;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;ABSTENCAO
SILAS CAMARA;REPUBLICAN;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;REELEITO;ABSTENCAO
ABILIO SANTANA;PL;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
ADOLFO VIANA;PSDB;BAHIA;GOVERNO;CENTRO;NORDESTE;MASCULINO;NOVATO;SIM
AFONSO FLORENCE;PT;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
ALEX SANTANA;PDT;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;SIM
